Restaurants_Name,Rating,Num_of_ratings,Cuisines,Cost,address,links
Swaminarayan Khichdi,3.8,1K+ ratings,"Gujarati, Indian",₹ 200 for two person,"Keshav Shrushti, ground  Floor, Alankar Residency, B/H Kapodra Police Station, Spinning Mill, Varachha, Surat",https://www.swiggy.com/restaurants/swaminarayan-khichdi-keshav-shrushti-kapodra-patiya-surat-128709
Rb Amlet Center,--,Too Few Ratings,"Snacks, Indian",₹ 300 for two person,"OPP GANGESHWAR MAHADEV TEMPLE, NR OM SHIVAM COMPLEX, ADAJAN SURAT",https://www.swiggy.com/restaurants/rb-amlet-center-adajan-surat-515055
Sai Nath Live Aalu Puri,3.9,50+ ratings,Snacks,₹ 200 for two person,SHOP NO 1 SEJAL COMPLEX MAHAVIR NAGAR RUPALI CINEMA RAM NAGAR SURAT,https://www.swiggy.com/restaurants/sai-nath-live-aalu-puri-rupali-cinema-surat-503928
Pizza Bay,--,Too Few Ratings,"Pizzas, Pastas",₹ 350 for two person,"2, MITRALI ROW HOUSE, ANAND MAHAL  ROAD, ADAJAN, Surat Municipal Corporation,  Gujarat-395009",https://www.swiggy.com/restaurants/pizza-bay-anand-mahal-road-adajan-surat-660396
Bombay Fast Food,--,Too Few Ratings,Pizzas,₹ 200 for two person,"Sho No 3, Samratkunj Appartment, Near Water Tank, Adajan road surat, 395009",https://www.swiggy.com/restaurants/bombay-fast-food-adajan-surat-399756
Sweets N Smile,--,Too Few Ratings,Sweets,₹ 300 for two person,"Jyoti Doctor,B10,ThakorPark,near girdhar dwar society,Breadliner circle,Althan canal,, Surat , 395017",https://www.swiggy.com/restaurants/sweets-n-smile-piplod-surat-483359
Rajubhai Alupuri And Khavsa Center,3.8,50+ ratings,Indian,₹ 100 for two person,"OPP. C.N.G. PUMP, NR, SAHAJ SUPER STORE, ADAJAN, SURAT.395009",https://www.swiggy.com/restaurants/rajubhai-alupuri-and-khavsa-center-adajan-surat-457859
Go Momos,3.9,100+ ratings,Chinese,₹ 250 for two person,"G-4, PROTON PLUS, BEHIND CROMA ADAJAN SURAT",https://www.swiggy.com/restaurants/go-momos-lp-savani-road-adajan-surat-177926
SR Fast Food,4.3,1K+ ratings,"Fast Food, Snacks",₹ 250 for two person,"Mahavir Nagar Society, Vishal Nagar, Surat, Gujarat",https://www.swiggy.com/restaurants/sr-fast-food-nr-vishal-nagar-surat-98135
Guljar Biryani And  Caterers,3.3,20+ ratings,Indian,₹ 200 for two person,"CAUSWAY CIRCLE, BESIDE KGN TEA, OPP.SULTANIYA GYMKHANA, RANDER ROAD, SURAT,395009",https://www.swiggy.com/restaurants/guljar-biryani-and-caterers-oppsultaniya-gymkhana-causway-circle-surat-337039
Shree Raj Veg Khausa,3.9,20+ ratings,Snacks,₹ 100 for two person,"Shop No. 1, Vinayak Residency, opp. Gajera school, New GIDC, Mahavir Nagar Society, Katargam, Surat, Gujarat 395004, India",https://www.swiggy.com/restaurants/shree-raj-veg-khausa-varachha-surat-464291
Indian Sandwich,--,Too Few Ratings,"Fast Food, American",₹ 200 for two person,"SHOP NO. 108, GROUND FLOOR, THE PALLADIUM MALL, YOGICHOWK, PUNAGAM, SURAT",https://www.swiggy.com/restaurants/indian-sandwich-sarthana-surat-547974
Maa Anjani Pav Bhaji Center,3.5,20+ ratings,"Street Food, Snacks",₹ 300 for two person,"G 3/4 REAL POINT NR SURBHI DAIRY HONEY PARK, Surat City , Surat City, Surat Municipal Corporation, Gujarat - 395002",https://www.swiggy.com/restaurants/maa-anjani-pav-bhaji-center-adajan-real-point-apartment-surat-551616
The Bungalow Cafe,3.8,20+ ratings,"Pastas, Pizzas",₹ 300 for two person,"SHOP NO 102, VELENTINA BUSINESS HUB, ADAJAN, SURAT    395009",https://www.swiggy.com/restaurants/the-bungalow-cafe-adajan-surat-458312
Ajay's Takeaway- Ramnagar,--,Too Few Ratings,Burgers,₹ 100 for two person,"12/128 paikee shop no 3 east, B/S prakash bakery, ramnagar main road, surat-395005",https://www.swiggy.com/restaurants/ajays-takeaway-ramnagar-adajan-surat-567702
THE BURGER COMPANY,3.8,100+ ratings,"Fast Food, Pizzas",₹ 250 for two person,"GF 7, Adjacent to Starbucks, Velocity, LP Savani Rd, nr. Madhuvan Circle, TGB, Adajan Gam, Adajan, Surat, Gujarat 395009, India",https://www.swiggy.com/restaurants/the-burger-company-adajan-surat-525145
Ravi's Kitchen,4.2,1K+ ratings,"Chinese, North Indian",₹ 300 for two person,"THE PARK,OPP.SVNIT,DUMAS ROAD,SURAT",https://www.swiggy.com/restaurants/ravis-kitchen-the-park-opp-svnit-athwa-surat-73801
Tsk By Mahesh Pavbhaji,3.8,100+ ratings,"Desserts, Chinese",₹ 200 for two person,"Shop 12, Garden View Apartment, Honey Park Road, Adajan Gam, Surat   395009",https://www.swiggy.com/restaurants/tsk-by-mahesh-pavbhaji-honey-park-adajan-surat-458777
Janta Super Ice Cream,4.2,500+ ratings,Ice Cream,₹ 150 for two person,"2,bhumi complex, veer bhagat sinh marg, adajan surat",https://www.swiggy.com/restaurants/janta-super-ice-cream-bhoomi-complex-adajan-surat-95141
Juneberry Cheesecake,4.6,20+ ratings,"Opens next at 7:31 pm, todayDesserts, Bakery",₹ 400 for two person,"276, Sardar patel society, left side second street, Near swaminarayan temple, surat- 395004, Gujarat.",https://www.swiggy.com/restaurants/juneberry-cheesecake-varachha-surat-386721
Jay Ambe Aloopuri & Kachhi Dabeli,--,Too Few Ratings,"Pizzas, Bakery",₹ 50 for two person,"H.S. Enterprise, Rajvansh Society, New City Light Rd, near Jiomax Hospital, Vasant Vihar Society, New City Light, Althan, Surat, Gujarat 395007, India",https://www.swiggy.com/restaurants/jay-ambe-aloopuri-and-kachhi-dabeli-althan-piplod-surat-597863
Chinese by Ravi's Kitchen,3.9,500+ ratings,Chinese,₹ 250 for two person,"THE PARK,OPP.SVNIT,DUMAS ROAD,SURAT",https://www.swiggy.com/restaurants/chinese-by-ravis-kitchen-the-park-opp-svnit-athwa-surat-74649
Huseni Food Villa,3.6,20+ ratings,"Biryani, North Indian",₹ 300 for two person,"128 , Rangavdhoot Society Div-3 Ram Nagar , Rander Road ,, Surat City , Surat",https://www.swiggy.com/restaurants/huseni-food-villa-ram-nagar-adajan-surat-572422
Simply Madras,4.4,1K+ ratings,South Indian,₹ 250 for two person,"G8, Western Arena Near Madhuvan Circle Green City Road Pal, Adajan, Surat, Gujarat 394510",https://www.swiggy.com/restaurants/simply-madras-green-city-road-pal-adajan-surat-70650
Pizza Zone,--,Too Few Ratings,"Pizzas, Snacks",₹ 300 for two person,"28C, Shop no.2, first floor, J R square, Varachha, Surat.395006",https://www.swiggy.com/restaurants/pizza-zone-sarthana-surat-569530
New Gangour Restaurant,3.6,1K+ ratings,"Closes soonChinese, North Indian",₹ 200 for two person,"B-52 Shramjivi Society. Vibhag - 2 opposite passport office. Shardayatan school lane. Umra Gaam,Surat",https://www.swiggy.com/restaurants/new-gangour-restaurant-umra-gaam-athwa-surat-227677
Maruti Juice,4.7,20+ ratings,Beverages,₹ 200 for two person,"1,2, Mansarovar shopping center,Amroli Char Rasta, Amroli, Surat, Gujarat, India",https://www.swiggy.com/restaurants/maruti-juice-amroli-surat-202081
Baba Omlet,4.4,100+ ratings,North Indian,₹ 200 for two person,"B17, Vaibhav Nagar Society, Opp. SMC Ward, Adajan",https://www.swiggy.com/restaurants/baba-omlet-opp-smc-ward-adajan-palanpur-patia-surat-176453
Vinayak Khiru,--,Too Few Ratings,South Indian,₹ 100 for two person,"H G F11, REAL POINT HO SOC NEAR ALAKNANDA, HONEY PARK ROAD SURAT ADAJAN",https://www.swiggy.com/restaurants/vinayak-khiru-adajan-surat-516608
Vinayak Khiru,--,Too Few Ratings,South Indian,₹ 100 for two person,"H G F11, REAL POINT HO SOC NEAR ALAKNANDA, HONEY PARK ROAD SURAT ADAJAN",https://www.swiggy.com/restaurants/vinayak-khiru-adajan-surat-516608
RR Eggs Center,--,Too Few Ratings,Indian,₹ 150 for two person,"Althan chokdi near metro wholesaler, VIP  road, althan surat 395017",https://www.swiggy.com/restaurants/rr-eggs-center-metro-wholesaler-piplod-surat-655036
Greenees,4.2,100+ ratings,"South Indian, Ice Cream",₹ 250 for two person,SHOP NO 2 VARDAY RESIDENCY NR  JALARAM TEMPLE NR GREENVELLY  ADAJAN,https://www.swiggy.com/restaurants/greenees-jalaram-temple-adajan-surat-375551
Captain Egg,--,Too Few Ratings,"Snacks, Beverages",₹ 200 for two person,"SHOP NO.4, GROUND FLOOR, AVALONE COMMERCIAL HUB, NEAR ANKUR SCHOOL, AMBATALAVDI, KATARGAM, Surat, 395004",https://www.swiggy.com/restaurants/captain-egg-avalone-commercial-hub-katargam-surat-607983
Temple Of Salad,--,Too Few Ratings,Salads,₹ 280 for two person,"181, kasturba mahila soci., palanpur patia,  adajan, Rander , Surat, Surat Municipal  Corporation, Gujarat - 395009",https://www.swiggy.com/restaurants/temple-of-salad-adajan-surat-418266
Annapuram Mahila Gruh Udhyog,3.8,100+ ratings,Indian,₹ 130 for two person,"M/s. Annapuram Mahila Gruh Udhyog Shop no 12, Gajanan Complex, Happy Home,  Near D. R. B. College, Althan  Surat 395007",https://www.swiggy.com/restaurants/annapuram-mahila-gruh-udhyog-piplod-althan-surat-262170
Vrundavan Dairy,4.5,1K+ ratings,"Beverages, Desserts",₹ 200 for two person,"Magnus Shopping Mall, Bhimrad-Althan Road, Apcha Nagar, Surat, India",https://www.swiggy.com/restaurants/vrundavan-dairy-althan-bhimrad-surat-192044
Amardeep Icecream & Juices,4.0,1K+ ratings,Desserts,₹ 200 for two person,"WARD NO.61-A, G-28, SAMARTH PARK SHOPPING CENTRE - A, AMROLI, CHAPRABHATTA, AMROLI,SURAT",https://www.swiggy.com/restaurants/amardeep-icecream-and-juices-amroli-surat-164198
De Khana Khazana,3.9,1K+ ratings,"Closes soonChinese, North Indian",₹ 200 for two person,"B-52 Shramjivi Society. Vibhag - 2 opposite passport office. Shardayatan school lane. Umra Gaam,Surat",https://www.swiggy.com/restaurants/de-khana-khazana-umra-gaam-athwa-surat-227666
Oxy Burger,--,Too Few Ratings,"Burgers, Pizzas",₹ 300 for two person,G-7 SWASTIK PLAZA NE.YOGI CHOWK SURAT CITY SURAT,https://www.swiggy.com/restaurants/oxy-burger-sarthana-yogi-chowk-surat-560454
RBG (Restro Bar Grill),--,Too Few Ratings,"Indian, Salads",₹ 1500 for two person,"Park Inn by Radisson Surat, Beside Sumerru Business Corner, Pal, Adajan, Surat,Gujarat, 395009, India",https://www.swiggy.com/restaurants/rbg-restro-bar-grill-beside-sumerru-business-corner-adajan-surat-612058
Banarasi Fastfood And Juice,--,Too Few Ratings,Fast Food,₹ 280 for two person,"SHOP NO 6,DEV ASHISH ICHCHANATH  UMRA SURST, Umra , Surat Municipal  Corporation, Surat Municipal Corporation,  Gujarat - 395007",https://www.swiggy.com/restaurants/banarasi-fastfood-and-juice-piplod-surat-434615
Patel'S Puff House,4.3,1K+ ratings,"Snacks, Fast Food",₹ 200 for two person,SHOP NO 8 VIP CIRCLE KAPODRA BRIDGE KHAUDHRA GALI UTRAN SURAT,https://www.swiggy.com/restaurants/patels-puff-house-vip-chowk-utran-amroli-surat-107127
The Shake Maker,4.3,100+ ratings,Ice Cream,₹ 150 for two person,"G-37,Avalon The Business Hub,Near Ankur School, Ambatalavdi Road,Katargam-395004",https://www.swiggy.com/restaurants/the-shake-maker-sumul-dairy-road-katargam-surat-216761
Chicago Pizza,3.7,20+ ratings,Pizzas,₹ 400 for two person,G1marvellabusinesshuboppositepalRTOmainpalhaziraroadsurat395009,https://www.swiggy.com/restaurants/chicago-pizza-rto-road-adajan-surat-587478
Om Sai Kumbhaniya Bhajiya,4.1,20+ ratings,"Indian, Snacks",₹ 150 for two person,"351 BESIDE BRAHMAND RESIDENCY, PAL ROAD SURAT ADAJAN Dn, GUJARAT",https://www.swiggy.com/restaurants/om-sai-kumbhaniya-bhajiya-adajan-surat-510827
Kachchhi Dabeli & Vadapav Fastfood,--,Too Few Ratings,Snacks,₹ 200 for two person,"Shop no G12-A, atlanta shopping center, canal road, althan  395007",https://www.swiggy.com/restaurants/kachchhi-dabeli-and-vadapav-fastfood-piplod-surat-528957
Truffle Treatz,--,Too Few Ratings,"Sweets, Bakery",₹ 300 for two person,"53,SHIVEN SQUARE NR, BLUE LIFE PAL  SURAT , Surat City , Surat City, Surat  Municipal Corporation, Gujarat, 395009 ,  Surat City , Surat City, Surat Municipal  Corporation, Gujarat-395009",https://www.swiggy.com/restaurants/truffle-treatz-blue-life-pal-adajan-surat-651927
Amul Ghughra,3.9,20+ ratings,"Gujarati, Fast Food",₹ 100 for two person,"109, RSNO132/1, KHAWDHARA GALI, VIP CIRCLE, UTRAN, SURAT, GUJARAT - 394105",https://www.swiggy.com/restaurants/amul-ghughra-sarthana-surat-520825
Cream n Trust,4.3,100+ ratings,"Bakery, Desserts",₹ 200 for two person,"Govindji Park, Umra Gam, Athwa, Surat, Gujarat 395007",https://www.swiggy.com/restaurants/cream-n-trust-umra-road-piplod-surat-408531
London Dairy,--,Too Few Ratings,"Ice Cream, Desserts",₹ 280 for two person,"SHOP NO.3, MAGNNUS, ALTHAN  BHIMRAD CANAL ROAD, ALTHAN, SURAT.,  Surat City, Surat Municipal Corporation,  Gujarat - 395007",https://www.swiggy.com/restaurants/london-dairy-piplod-surat-429085
Janta Thali Restaurant,3.9,1K+ ratings,"Closes soonChinese, North Indian",₹ 200 for two person,"B-52 Shramjivi Society. Vibhag - 2 opposite passport office. Shardayatan school lane. Umra Gaam,Surat",https://www.swiggy.com/restaurants/janta-thali-restaurant-umra-gaam-surat-227399
Cafe Coffee Day,4.2,500+ ratings,"Beverages, Snacks",₹ 300 for two person,"Riddhi Residency, LP Savani Road, Guru Ram Pavan BhumiAdajan Gam",https://www.swiggy.com/restaurants/cafe-coffee-day-riddhi-residency-adajan-surat-89107
Lijjat Tawa Fry,4.0,1K+ ratings,"Tandoor, Biryani",₹ 300 for two person,"durgapuri soc. nr, hp petrol pump,mora bhagal,surat",https://www.swiggy.com/restaurants/lijjat-tawa-fry-mora-bhagal-rander-surat-126671
Happy Live Cake Shop,--,Too Few Ratings,Bakery,₹ 500 for two person,"SHOP NO.54 APPLE SQUAR NR.SWASTIC PLAZA,YOGI CHOWK,SUART",https://www.swiggy.com/restaurants/happy-live-cake-shop-sarthana-surat-547720
Table - 21,--,Too Few Ratings,Pizzas,₹ 300 for two person,"SHOP NO. FP-10 , THE PARK, KEVAL CHOWK, OPP. SVNIT COLLEGE, ATHWA, Surat City, Surat, Gujarat",https://www.swiggy.com/restaurants/table-21-keval-chowk-piplod-surat-645931
I Cream Story,--,Too Few Ratings,"Ice Cream, Beverages",₹ 300 for two person,"SHOP NO 6 , THE PARK FOOD, OPP SVNIT, UMRA SURAT  395007",https://www.swiggy.com/restaurants/i-cream-story-opp-svnit-piplod-surat-655492
Koustubha Bengaluru Flavours,--,Too Few Ratings,"South Indian, Chaat",₹ 250 for two person,"7A-7B, THE PARK, OPPO. SVNIT COLLEGE, ICHCHANATH, UMARA ,SURAT, Surat Municipal Corporation, Surat Municipal Corporation, Gujarat-395007",https://www.swiggy.com/restaurants/koustubha-bengaluru-flavours-the-park-oppo-svnit-college-park-food-and-shopping-piplod-surat-562098
Shree Sai Snacks And Fast Food,4.5,5K+ ratings,"South Indian, Burgers",₹ 200 for two person,"G-1/2 Heta Complex Nr Mahalaxmi Row House Pal Palanpur Road, Pal Gam, Surat",https://www.swiggy.com/restaurants/shree-sai-snacks-and-fast-food-pal-pankaj-nagar-surat-96048
Dilip Dabeli,3.7,1K+ ratings,"Fast Food, Snacks",₹ 200 for two person,"7 Sanskar Flats, Near Hari Om circle, LP Savani Road, Adajan Surat",https://www.swiggy.com/restaurants/dilip-dabeli-lp-savani-road-l-p-savani-surat-76850
Trishiv Chinese,--,Too Few Ratings,Chinese,₹ 300 for two person,"SHOP NO 23, 24, GF ROYAL SQAURE UTRAN KOSAD ROAD UTRAN SURAT",https://www.swiggy.com/restaurants/trishiv-chinese-kosad-road-utran-surat-644603
Facebook Fast Food,3.8,1K+ ratings,"Snacks, Pizzas",₹ 150 for two person,"33, KAILASHNAGER, CHOPATI, VARACHHA MAIN ROAD, SURAT 395006",https://www.swiggy.com/restaurants/facebook-fast-food-nr-chowpatty-nana-varachha-surat-79561
Nutty Bunchs Cake Shop,3.7,20+ ratings,Bakery,₹ 150 for two person,"GF shop no10 sanai residency near parsuram garden adajan surat , surat, gujrat 395009",https://www.swiggy.com/restaurants/nutty-bunchs-cake-shop-near-parsuram-garden-adajan-surat-568201
Snap Kitchen by Hotel Sadbhav Villa,--,Too Few Ratings,"Indian, Snacks",₹ 300 for two person,"3rd Floor, Marvella Business Hub, Hazira Rd, opposite RTO Pal, Adajan Gam, Adajan, Surat, Gujarat 395009, India",https://www.swiggy.com/restaurants/snap-kitchen-by-hotel-sadbhav-villa-pal-gam-adajan-surat-417184
The Good Stuff Cafe,4.2,100+ ratings,"Bakery, Beverages",₹ 300 for two person,"G3, Samarth Acquisti Complex, New City Light, Surat",https://www.swiggy.com/restaurants/the-good-stuff-cafe-new-city-light-surat-surat-77918
Shree Khodiyar Kathiyawadi Dhaba,4.3,20+ ratings,"Closes soonThalis, Gujarati",₹ 350 for two person,"FIRST FLOOR 101 TO 105, 201 TO 203, PALASH PALLADIA, B/H. KIRAN MOTORS, NR GALAXY CIRCLE, GREEN CITY ROAD, PAL, SURAT, SURAT MUNICIPAL CORPORATION,SURAT MUNICIPAL CORPORATION (GUJARAT)-FIRST FLOOR 101",https://www.swiggy.com/restaurants/shree-khodiyar-kathiyawadi-dhaba-green-city-road-adajan-surat-648417
Mehul Vada Pav,4.3,1K+ ratings,"Fast Food, Snacks",₹ 100 for two person,"Shop 7 Mahalaxmi Square, LP Sawani Circle Adajan, Adajan Gam, Surat",https://www.swiggy.com/restaurants/mehul-vada-pav-lp-savani-road-l-p-savani-surat-85717
Da Dhaba,--,Too Few Ratings,"North Indian, Tandoor",₹ 200 for two person,"Shiv Campus, LP Savani Rd, Honey Park Area, Pankaj Nagar, Surat, Gujarat 395009, India",https://www.swiggy.com/restaurants/da-dhaba-gam-adajan-surat-487122
Riyanshi Fast Food & Juice,--,Too Few Ratings,"Fast Food, Chinese",₹ 100 for two person,"G 24 Marvella business hub Surat, 395009",https://www.swiggy.com/restaurants/riyanshi-fast-food-and-juice-adajan-surat-442399
The Janta Ice Cream,4.3,1K+ ratings,Ice Cream,₹ 150 for two person,"Gf-18, Sai Square Complex, Honey Park Road, Opposite Saswat Complex, Adajan, Adajan, Surat, Gujarat 395009, India",https://www.swiggy.com/restaurants/the-janta-ice-cream-honey-park-road-adajan-surat-93240
Rati Kaka ni Bhaji pav,--,Too Few Ratings,"Street Food, Snacks",₹ 300 for two person,"SHOP-4, B-BLD MEGHA CAMP HANI  PARK ROAD, RANDER, Surat, 395004",https://www.swiggy.com/restaurants/rati-kaka-ni-bhaji-pav-katargam-honey-park-road-surat-638507
Yuvraj Surati Tawa,4.2,100+ ratings,"Chinese, North Indian",₹ 500 for two person,"No 306, Block No. 287, Opp Raj Victoria, Palgam, Adajan Surat",https://www.swiggy.com/restaurants/yuvraj-surati-tawa-gam-pal-surat-472383
Bapa Sitaram Gathiya House,--,Too Few Ratings,"Gujarati, Snacks",₹ 100 for two person,"11,KHAWDHRAGALI,VIP CIRCLE,UTRAN,MOTA VARACHHA,CHORASI,SURAT,GUJARAT-394105",https://www.swiggy.com/restaurants/bapa-sitaram-gathiya-house-sarthana-surat-562149
Cake'S Party,4.4,50+ ratings,"Bakery, Desserts",₹ 700 for two person,"28 shramjivi society umra gam piplod surat,  Surat, Gujarat-",https://www.swiggy.com/restaurants/cakes-party-piplod-surat-352556
S Kumar Sandwich Amroli,4.3,500+ ratings,"Burgers, Pizzas",₹ 150 for two person,"Shop No.14, Prarthna Complex, Opp. Neelkanth Residency, New Kosad Road, Amroli, Surat,Motavarachha,Surat",https://www.swiggy.com/restaurants/s-kumar-sandwich-amroli-kosad-road-amroli-surat-154260
shree sai kings kumbhaniya Bhajya,4.3,100+ ratings,"Gujarati, Indian",₹ 140 for two person,"BALCK NO 306, NEAR GALAXY CIRCAL ADAJAN PAL SURAT OPP NILKANTH RESIDENCY VILLAGE SURAT  395009",https://www.swiggy.com/restaurants/shree-sai-kings-kumbhaniya-bhajya-galaxy-circle-adajan-surat-508955
The Chocolate Room,3.9,1K+ ratings,"Pastas, Desserts",₹ 300 for two person,G-5 Helios The Business Near Galaxy Circle Pal Adajan Surat,https://www.swiggy.com/restaurants/the-chocolate-room-helios-the-business-bhatha-surat-65440
Banana Leaf,3.4,20+ ratings,South Indian,₹ 300 for two person,"G-10,Heta Complex,Near,L.P.Savani circle,Adajan,Surat., Adajan Dn , Surat City, Surat",https://www.swiggy.com/restaurants/banana-leaf-l-p-savani-circle-adajan-surat-597303
Jalaram Khaman House,3.2,1K+ ratings,"Desserts, Pizzas",₹ 150 for two person,"G-25, Money Arcade, Canal Road, Vesu, Surat",https://www.swiggy.com/restaurants/jalaram-khaman-house-money-arcade-vesu-surat-76343
Hungry Bites Khatri Non Veg Center,3.8,20+ ratings,North Indian,₹ 300 for two person,"Oop althan dhiraj son, althan canel road, surat",https://www.swiggy.com/restaurants/hungry-bites-khatri-non-veg-center-piplod-surat-476615
4M Kitchen by Jalaram Khichdi,--,Too Few Ratings,North Indian,₹ 300 for two person,"SHOP NO G/3, RAJ VICTORIA, OPP RAJ ARCADE, PAL SURA - 394510",https://www.swiggy.com/restaurants/4m-kitchen-by-jalaram-khichdi-raj-victoria-adajan-surat-630730
Gingerbread Bakers,--,Too Few Ratings,Bakery,₹ 700 for two person,"147, Roongta signature, near Shyam mandir , New city light road, Surat.",https://www.swiggy.com/restaurants/gingerbread-bakers-piplod-surat-469227
Amardeep Grills N Shakes,--,Too Few Ratings,"Street Food, Indian",₹ 220 for two person,"D6, Sanai Residency, Opp. Parshuram Garden Rd, Honey Park Road, Adajan Gam, Adajan, Surat, Gujarat 395009, India",https://www.swiggy.com/restaurants/amardeep-grills-n-shakes-sanai-residency-adajan-surat-604954
Ajay's Takeway Food,--,Too Few Ratings,American,₹ 150 for two person,"G-20 Raj arcade Pal Gam, Surat, Gujarat 395009, India",https://www.swiggy.com/restaurants/ajays-takeway-food-adajan-surat-542678
The Baker's Dozen,4.3,100+ ratings,"Bakery, Desserts",₹ 300 for two person,"G-9, Gallaria Shopping Hub, Near Sanjeev Kumar Aud. ,Village Pal Surat, Surat, Gujarat-395009",https://www.swiggy.com/restaurants/the-bakers-dozen-adajan-surat-414258
The Khatri Non-Veg Center,--,Too Few Ratings,"North Indian, Mughlai",₹ 300 for two person,"OPP. NINI GOA, NEAR SANJIVANI CERCLE, BHIMRAD-ALTHAN, SURAT",https://www.swiggy.com/restaurants/the-khatri-non-veg-center-sanjivani-cercle-piplod-surat-664211
Crysttal Palace (Mr. Multicusine Restaurant And Ba,4.6,20+ ratings,"Indian, South Indian",₹ 400 for two person,"R.S.NO.48/1, 48/2, 50, 50/1, PAIKEE SUB P. NO. 1-2-3, UPPER BASEMENT & HIGHER GROUND EAST SIDE, SWASTIK HOUSE, DUMAS ROAD, PIPLOD-395007",https://www.swiggy.com/restaurants/crysttal-palace-mr-multicusine-restaurant-and-ba-piplod-surat-453605
Paranthe Wali Gali,3.4,100+ ratings,"Closes soonChinese, North Indian",₹ 200 for two person,"B-52 Shramjivi Society. Vibhag - 2 opposite passport office. Shardayatan school lane. Umra Gaam,Surat",https://www.swiggy.com/restaurants/paranthe-wali-gali-umra-gaam-athwa-surat-310889
Bhajiya And Fast Food Junction,3.3,100+ ratings,Snacks,₹ 150 for two person,"G-24 MONEY ARCADE, CANAL ROAD, VESU, SURAT",https://www.swiggy.com/restaurants/bhajiya-and-fast-food-junction-vesu-veer-narmad-south-gujarat-university-surat-107817
Akkad Bakkad Bombay Boo,3.8,20+ ratings,"Italian, Fast Food",₹ 200 for two person,"SHOP NO G-28,RAJ VICTORIYA OPP RAJ ARCAD SURAT,ADAJAN DN,SURAT",https://www.swiggy.com/restaurants/akkad-bakkad-bombay-boo-pal-gam-adajan-surat-532905
90's Food Zone,--,Too Few Ratings,"Pizzas, Burgers",₹ 300 for two person,"P N First floor, Kailashnagar So at nana varachha, Surat, Surat City , Surat City, Surat Municipal Corporation, Gujarat - 395013",https://www.swiggy.com/restaurants/90s-food-zone-varachha-surat-563407
The Pancake Story,--,Too Few Ratings,"Desserts, Beverages",₹ 250 for two person,"G-4,Raj Arcade,Pal Gam Circle,Opp Raj Victoria Complex,Adajan,SURAT-395009",https://www.swiggy.com/restaurants/the-pancake-story-pal-gam-circle-adajan-surat-656802
Chalman Exotic Locho & Khaman,4.0,1K+ ratings,Desserts,₹ 300 for two person,"G 6, Deepanjali Shopping Complex, Opposite L.P. Savani School, Adajan Patiya, Surat",https://www.swiggy.com/restaurants/chalman-exotic-locho-and-khaman-patiya-adajan-surat-93521
Rasta One Nation,3.9,20+ ratings,"Italian, Chinese",₹ 400 for two person,"A-1,2  la mela food court, beside McDonald,Tgb circle,Adajan Surat. 395009",https://www.swiggy.com/restaurants/rasta-one-nation-gam-adajan-surat-406185
House of platter,--,Too Few Ratings,"North Indian, Italian",₹ 300 for two person,"Shop NO G-6, 106, FORTUNE SHOPPING ISLAND, NR RAJ ARCADE GALAXY CIRCLE, GREEN CITY ROAD, PAL SURAT",https://www.swiggy.com/restaurants/house-of-platter-adajan-surat-569776
Shree Sahjanand Food,3.8,100+ ratings,"Closes soonPastas, Chinese",₹ 300 for two person,"B/52, TALAV FALIYA, SHARMJIVI SOC-2, UMRAGAM , Surat City 395007",https://www.swiggy.com/restaurants/shree-sahjanand-food-piplod-athwa-surat-375556
Shree Sainath Malhar Dhosa,4.3,100+ ratings,South Indian,₹ 250 for two person,"G32, Raj Victoria, Adajan, Surat",https://www.swiggy.com/restaurants/shree-sainath-malhar-dhosa-raj-victoria-pal-pal-gam-surat-177221
Ni Ni Ra,--,Too Few Ratings,Snacks,₹ 180 for two person,"2, Amroli, Surat, Gujarat 394107, India",https://www.swiggy.com/restaurants/ni-ni-ra-sarthana-surat-524508
Eggiterian Express,--,Too Few Ratings,"Fast Food, Snacks",₹ 300 for two person,"SHOP NO 50, LA VICTORIA NEAR GALAXY CIRCLE ADAJAN GAM PAL GAM, SURAT 394510",https://www.swiggy.com/restaurants/eggiterian-express-adajan-pal-surat-545246
The Coffee Time,--,Too Few Ratings,"Beverages, Italian",₹ 120 for two person,"G-25,Silver business point, VIP Cir To Utran Rd, Mota Varachha, Surat, Gujarat 394105, India",https://www.swiggy.com/restaurants/the-coffee-time-mota-varachha-sarthana-surat-650442
Vanakkam Cafe,3.3,50+ ratings,"South Indian, Kerala",₹ 200 for two person,"SHOP NO. G / 21, GROUND FLOOR, ''RAJ VICTORIA'', OPP. RAJ ARCADE, PAL, Surat City, Surat Municipal Corporation, Gujarat-395009",https://www.swiggy.com/restaurants/vanakkam-cafe-pal-gam-galaxy-circle-surat-415442
Mummy Ni Maggi,4.7,100+ ratings,"Fast Food, Snacks",₹ 130 for two person,"SHOP NO. G-57, RAJ VICTORIA, OPP,RAJ ARCADE, PAL SURAT",https://www.swiggy.com/restaurants/mummy-ni-maggi-raj-victoria-pal-pal-gam-surat-95309
The Tadka Corner,--,Too Few Ratings,"Punjabi, North Indian",₹ 200 for two person,"SH.NO,A4,PIPLOD FOOD PLAZA,B/H LAKE VIEW GARDEN,PIPLOD ROAD,SURAT-395007",https://www.swiggy.com/restaurants/the-tadka-corner-piplod-night-bazar-piplod-surat-570919
